 Rank,Name,G,OffRushYards,OffPassYards,OffPlays,OffTotalYards,OffYards/Play,OffYards/G
1,Kent State,4,1132,1294,326,2426,7.44,606.5
2,UCF,10,2107,3574,859,5681,6.61,568.1
3,Mississippi,10,2106,3449,797,5555,6.97,555.5
4,Alabama,13,2385,4656,902,7041,7.81,541.6
5,North Carolina,12,2830,3617,849,6447,7.59,537.3
6,BYU,12,2281,3985,799,6266,7.84,522.2
7,Ohio State,8,2055,2100,570,4155,7.29,519.4
8,North Texas,10,2302,2830,779,5132,6.59,513.2
9,Florida,12,1575,4543,840,6118,7.28,509.8
10,Clemson,12,1846,4182,901,6028,6.69,502.3
11,Oklahoma,11,1977,3465,781,5442,6.97,494.7
12,SMU,10,1765,3180,753,4945,6.57,494.5
13,Toledo,6,1009,1955,462,2964,6.42,494
14,Arkansas State,11,1379,4008,849,5387,6.35,489.7
15,Liberty,11,2776,2534,791,5310,6.71,482.7
16,Western Michigan,6,1159,1719,392,2878,7.34,479.7
17,Fresno State,6,738,2138,464,2876,6.2,479.3
18,Buffalo,7,2012,1337,457,3349,7.33,478.4
19,Texas,10,1953,2801,715,4754,6.65,475.4
20,Arizona State,4,1057,777,252,1834,7.28,458.5
21,UCLA,7,1614,1571,519,3185,6.14,455
22,Memphis,11,1597,3387,819,4984,6.09,453.1
23,Appalachian State,12,3179,2245,845,5424,6.42,452
24,Cincinnati,10,2124,2386,676,4510,6.67,451
25,Coastal Carolina,12,2620,2778,805,5398,6.71,449.8
26,Notre Dame,12,2533,2849,867,5382,6.21,448.5
26,Ball State,8,1424,2164,617,3588,5.82,448.5
28,Wake Forest,9,1467,2533,690,4000,5.8,444.4
29,Louisville,11,2200,2686,735,4886,6.65,444.2
30,Nevada,9,1101,2872,615,3973,6.46,441.4
31,Virginia Tech,11,2641,2207,727,4848,6.67,440.7
32,Miami (Florida),11,1788,3050,803,4838,6.02,439.8
33,Texas A&M,10,2051,2341,678,4392,6.48,439.2
34,Iowa State,12,2340,2896,828,5236,6.32,436.3
35,LSU,10,1217,3122,786,4339,5.52,433.9
36,San Jose State,8,1060,2387,524,3447,6.58,430.9
37,Penn State,9,1569,2304,709,3873,5.46,430.3
38,Texas Tech,10,1628,2667,735,4295,5.84,429.5
39,Oklahoma State,11,2060,2635,849,4695,5.53,426.8
40,Georgia State,10,1940,2303,750,4243,5.66,424.3
41,Georgia,10,1742,2499,683,4241,6.21,424.1
42,Virginia,10,1627,2606,745,4233,5.68,423.3
43,Louisiana-Lafayette,11,2343,2294,739,4637,6.27,421.5
44,Central Michigan,6,1309,1214,433,2523,5.83,420.5
45,Stanford,6,797,1724,420,2521,6,420.2
46,USC,6,584,1916,449,2500,5.57,416.7
47,UTSA,12,2585,2399,866,4984,5.76,415.3
48,Colorado,6,1274,1209,454,2483,5.47,413.8
49,Oregon,7,1167,1723,428,2890,6.75,412.9
50,West Virginia,10,1351,2775,759,4126,5.44,412.6
51,TCU,10,2147,1963,685,4110,6,411
52,Tulsa,9,1419,2275,662,3694,5.58,410.4
53,Utah,5,970,1079,347,2049,5.9,409.8
54,Maryland,5,725,1320,310,2045,6.6,409
55,Oregon State,7,1383,1479,491,2862,5.83,408.9
55,Houston,8,1145,2126,590,3271,5.54,408.9
57,Washington,4,705,906,267,1611,6.03,402.8
58,East Carolina,9,1564,2060,655,3624,5.53,402.7
59,Missouri,10,1352,2668,714,4020,5.63,402
60,UAB,9,1800,1812,610,3612,5.92,401.3
61,Eastern Michigan,6,745,1657,418,2402,5.75,400.3
62,Florida State,9,1799,1771,644,3570,5.54,396.7
63,Tulane,12,2605,2120,829,4725,5.7,393.8
64,New Mexico,7,1370,1386,504,2756,5.47,393.7
65,Troy,11,1129,3192,784,4321,5.51,392.8
66,Arkansas,10,1513,2402,678,3915,5.77,391.5
66,Nebraska,8,1611,1521,563,3132,5.56,391.5
68,Marshall,10,1783,2129,669,3912,5.85,391.2
69,Minnesota,7,1343,1394,482,2737,5.68,391
70,Purdue,6,489,1854,411,2343,5.7,390.5
71,Georgia Tech,10,1908,1991,691,3899,5.64,389.9
72,Air Force,6,1834,502,373,2336,6.26,389.3
73,Boston College,11,1119,3126,751,4245,5.65,385.9
74,North Carolina State,12,1470,3154,834,4624,5.54,385.3
75,Washington State,4,517,1019,262,1536,5.86,384
76,Hawai'i,9,1372,2083,640,3455,5.4,383.9
77,Auburn,11,1788,2423,754,4211,5.58,382.8
78,Michigan,6,789,1502,385,2291,5.95,381.8
79,Pittsburgh,11,1319,2857,814,4176,5.13,379.6
80,Duke,11,1724,2449,829,4173,5.03,379.4
81,Charlotte,6,929,1337,416,2266,5.45,377.7
82,Wyoming,6,1317,920,409,2237,5.47,372.8
83,Southern Mississippi,10,1590,2130,643,3720,5.79,372
84,Georgia Southern,13,3472,1354,814,4826,5.93,371.2
85,Texas State,12,1575,2861,778,4436,5.7,369.7
86,Arizona,5,782,1065,373,1847,4.95,369.4
87,Iowa,8,1368,1581,544,2949,5.42,368.6
88,Northern Illinois,6,762,1443,442,2205,4.99,367.5
89,Middle Tennessee,9,1219,2074,636,3293,5.18,365.9
90,Miami (Ohio),3,381,715,185,1096,5.92,365.3
90,South Florida,9,1339,1949,650,3288,5.06,365.3
92,Ohio,3,650,438,171,1088,6.36,362.7
93,Northwestern,9,1465,1781,678,3246,4.79,360.7
94,Indiana,8,869,2007,570,2876,5.05,359.5
95,South Alabama,11,1225,2719,770,3944,5.12,358.5
96,South Carolina,10,1679,1872,664,3551,5.35,355.1
97,San Diego State,8,1595,1211,560,2806,5.01,350.8
98,Boise State,7,750,1693,451,2443,5.42,349
98,Illinois,8,1569,1223,521,2792,5.36,349
100,Temple,7,982,1456,524,2438,4.65,348.3
101,UTEP,8,1111,1674,539,2785,5.17,348.1
102,Tennessee,10,1415,2047,660,3462,5.25,346.2
103,Wisconsin,7,1152,1267,495,2419,4.89,345.6
104,Mississippi State,11,483,3259,761,3742,4.92,340.2
105,Kansas State,10,1517,1857,601,3374,5.61,337.4
106,Rutgers,9,1263,1755,658,3018,4.59,335.3
107,Rice,5,604,1054,349,1658,4.75,331.6
108,UNLV,6,868,1115,420,1983,4.72,330.5
109,Michigan State,7,640,1672,481,2312,4.81,330.3
110,Vanderbilt,9,991,1979,630,2970,4.71,330
111,Bowling Green,5,920,712,314,1632,5.2,326.4
112,Florida Atlantic,9,1621,1300,595,2921,4.91,324.6
113,Colorado State,4,496,798,272,1294,4.76,323.5
114,California,4,507,771,286,1278,4.47,319.5
115,Kentucky,11,2162,1336,679,3498,5.15,318
116,Army,12,3276,537,792,3813,4.81,317.8
117,Louisiana Tech,10,992,2166,703,3158,4.49,315.8
118,Baylor,9,813,1979,629,2792,4.44,310.2
119,Louisiana-Monroe,10,763,2294,631,3057,4.84,305.7
120,Western Kentucky,12,1512,1972,758,3484,4.6,290.3
121,Akron,6,849,838,360,1687,4.69,281.2
122,Florida International,5,787,617,306,1404,4.59,280.8
123,Utah State,6,840,815,362,1655,4.57,275.8
124,Navy,10,1776,974,607,2750,4.53,275
125,Syracuse,11,1012,1906,656,2918,4.45,265.3
126,Kansas,9,944,1389,637,2333,3.66,259.2
127,Massachusetts,4,269,481,217,750,3.46,187.5